Satelit,Latitude,Longitude,Kedalaman,Temperature
9,-7.823069,110.120956,32.9,30.8

9,-7.823077,110.120956,32.9,30.9

9,-7.823085,110.120956,33.0,30.9

9,-7.823093,110.120948,33.0,30.8

10,-7.823103,110.120948,33.1,30.9

10,-7.823115,110.120948,36.4,30.8

9,-7.823125,110.120948,33.3,30.9

9,-7.823137,110.120948,36.8,30.9

8,-7.823147,110.120948,36.6,30.9

9,-7.823158,110.120941,36.4,30.8

10,-7.823168,110.120941,36.4,30.9

10,-7.82318,110.120941,36.9,30.8

10,-7.82319,110.120941,36.5,30.9

10,-7.8232,110.120941,36.6,30.9

10,-7.823212,110.120941,36.3,30.7

10,-7.823222,110.120933,36.2,30.9

10,-7.823234,110.120933,36.8,30.9

10,-7.823242,110.120933,36.6,30.8

10,-7.823252,110.120933,36.5,30.8

10,-7.82326,110.120925,36.5,30.9

10,-7.823268,110.120925,36.5,30.8

11,-7.823278,110.120918,36.5,31.0

11,-7.823288,110.120918,36.7,30.9

11,-7.823298,110.120918,36.5,30.9

11,-7.823308,110.120918,36.6,30.8

11,-7.823318,110.12091,36.3,30.9

11,-7.823327,110.12091,36.6,30.8

11,-7.823337,110.120903,36.4,30.8

11,-7.823345,110.120895,36.4,30.8

11,-7.823355,110.120895,36.4,31.0

11,-7.823363,110.120887,36.4,30.9

11,-7.823373,110.120887,36.5,30.9

11,-7.823382,110.12088,36.5,30.9

11,-7.823392,110.12088,36.4,31.0

11,-7.823401,110.120872,36.3,30.9

11,-7.82341,110.120864,36.4,30.9

11,-7.823418,110.120864,36.4,30.9

11,-7.823428,110.120857,36.3,30.9

11,-7.823437,110.120849,36.5,30.9

11,-7.823447,110.120849,36.6,30.8

10,-7.823455,110.120841,36.4,30.9

10,-7.823463,110.120841,36.5,31.0

10,-7.82347,110.120834,36.4,31.0

10,-7.82348,110.120826,36.7,31.0

10,-7.823488,110.120819,36.4,30.8

10,-7.823497,110.120811,36.4,30.8

10,-7.823505,110.120811,36.3,30.9

10,-7.823513,110.120803,36.3,30.9

10,-7.823522,110.120796,36.5,30.9

10,-7.823528,110.120788,36.4,31.1

10,-7.823537,110.12078,36.6,30.9

10,-7.823547,110.120773,36.5,30.9

10,-7.823555,110.120765,36.9,31.0

10,-7.823565,110.120765,35.6,30.9

9,-7.823573,110.120758,36.6,30.8

9,-7.82358,110.12075,33.7,30.9

9,-7.823588,110.120742,34.8,30.9

10,-7.823596,110.120735,31.9,30.9

10,-7.823605,110.120727,32.4,30.9

10,-7.823612,110.120719,32.1,30.9

10,-7.82362,110.120704,34.1,31.0

10,-7.823626,110.120697,32.8,30.9

10,-7.823633,110.120689,32.2,30.8

9,-7.82364,110.120681,32.3,30.9

8,-7.823647,110.120674,32.3,30.9

10,-7.823652,110.120666,32.3,31.0

10,-7.823658,110.120658,32.2,30.9

10,-7.823665,110.120643,32.0,30.9

9,-7.823673,110.120635,31.9,30.8

9,-7.82368,110.120628,32.0,30.8

9,-7.823687,110.12062,31.9,31.0

9,-7.823693,110.120613,31.8,30.9

6,-7.823698,110.120605,31.8,31.0

10,-7.823705,110.120597,31.5,31.0

10,-7.823713,110.12059,31.5,30.9

7,-7.82372,110.120574,29.9,31.0

11,-7.823729,110.120567,29.7,31.0

9,-7.823735,110.120559,29.7,30.8

11,-7.823742,110.120552,29.5,30.9

11,-7.82375,110.120544,29.3,31.0

10,-7.823758,110.120536,29.4,30.9

10,-7.823767,110.120536,29.4,30.9

10,-7.823775,110.120529,29.3,30.9

10,-7.823781,110.120521,29.4,31.0

6,-7.823788,110.120506,29.4,31.0

10,-7.823793,110.120498,28.2,30.8

10,-7.8238,110.120491,28.1,30.8

10,-7.823805,110.120483,28.3,30.8

9,-7.82381,110.120475,28.4,31.0

9,-7.823815,110.12046,28.1,30.8

9,-7.82382,110.120452,28.1,30.8

9,-7.823823,110.120445,28.1,30.9

9,-7.823825,110.120429,28.5,30.9

10,-7.823828,110.120414,28.3,30.9

10,-7.823832,110.120407,28.0,31.0

10,-7.823835,110.120399,27.7,30.9

10,-7.823842,110.120391,28.0,30.8

12,-7.823845,110.120376,27.8,31.0

11,-7.82385,110.120368,27.6,30.9

10,-7.823855,110.120361,27.6,30.8

10,-7.823858,110.120353,27.6,30.8

10,-7.823862,110.120338,27.7,30.9

11,-7.823867,110.12033,27.7,30.9

10,-7.82387,110.120323,27.7,30.9

9,-7.823873,110.120307,28.2,30.9

10,-7.823875,110.1203,27.9,31.0

11,-7.823877,110.120292,27.6,31.0

11,-7.823878,110.120285,28.0,30.8

10,-7.823882,110.120277,28.0,31.0

10,-7.823884,110.120269,28.1,31.0

10,-7.823885,110.120254,27.7,31.0

10,-7.823887,110.120246,27.7,30.8

11,-7.823888,110.120239,28.8,30.9

11,-7.823888,110.120231,28.7,30.9

11,-7.823892,110.120216,28.7,30.9

10,-7.823894,110.120208,28.8,30.8

10,-7.823895,110.120201,29.9,30.9

10,-7.823896,110.120185,30.0,31.0

10,-7.823898,110.120178,29.8,30.7

10,-7.823898,110.12017,30.5,30.8

10,-7.823898,110.120162,30.9,30.8

11,-7.823898,110.120155,30.9,30.9

11,-7.823898,110.12014,31.9,30.9

11,-7.823898,110.120132,31.7,31.0

10,-7.8239,110.120124,31.3,30.9

11,-7.8239,110.120109,31.9,30.7

11,-7.8239,110.120101,32.2,30.9

10,-7.8239,110.120094,33.7,30.9

12,-7.8239,110.120079,33.0,31.0

12,-7.8239,110.120071,33.6,30.9

12,-7.823898,110.120063,33.3,30.9
